Algorithm;Input_Data_Length;Work_Time
Rabin-Karp ;32;2
Rabin-Karp ;64;1
Rabin-Karp ;128;1
Rabin-Karp ;256;2
Rabin-Karp ;512;3
Rabin-Karp ;1024;6
Rabin-Karp ;2048;16
Rabin-Karp ;4096;26
Rabin-Karp ;8192;53
Rabin-Karp ;16384;105
Rabin-Karp ;32768;212
Rabin-Karp ;65536;499
Rabin-Karp ;131072;862
Rabin-Karp ;262144;1783
Rabin-Karp ;524288;3508
Rabin-Karp ;1048576;7320
Rabin-Karp ;2097152;14181
Rabin-Karp ;4194304;28389
Knuth-Morris-Pratt ;32;1
Knuth-Morris-Pratt ;64;0
Knuth-Morris-Pratt ;128;1
Knuth-Morris-Pratt ;256;2
Knuth-Morris-Pratt ;512;4
Knuth-Morris-Pratt ;1024;7
Knuth-Morris-Pratt ;2048;15
Knuth-Morris-Pratt ;4096;30
Knuth-Morris-Pratt ;8192;60
Knuth-Morris-Pratt ;16384;124
Knuth-Morris-Pratt ;32768;245
Knuth-Morris-Pratt ;65536;487
Knuth-Morris-Pratt ;131072;1025
Knuth-Morris-Pratt ;262144;2056
Knuth-Morris-Pratt ;524288;3998
Knuth-Morris-Pratt ;1048576;7999
Knuth-Morris-Pratt ;2097152;16035
Knuth-Morris-Pratt ;4194304;32234